Page total likes,Type,Category,Post Month,Post Weekday,Post Hour,Paid,like
139441,Photo,2,12,4,3,0,79
139441,Status,2,12,3,10,0,130
139441,Photo,3,12,3,3,0,66
139441,Photo,2,12,2,10,1,1572
139441,Photo,2,12,2,3,0,325
139441,Status,2,12,1,9,0,152
139441,Photo,3,12,1,3,1,249
139441,Photo,3,12,7,9,1,325
139441,Status,2,12,7,3,0,161
139441,Photo,3,12,6,10,0,113
139441,Status,2,12,5,10,0,233
139441,Photo,2,12,5,10,0,88
139441,Photo,2,12,5,10,0,90
139441,Photo,2,12,5,3,0,137
138414,Photo,2,12,4,5,1,577
138414,Status,2,12,3,10,0,86
138414,Photo,3,12,3,3,0,40
138414,Photo,1,12,2,12,1,678
138414,Status,3,12,2,3,0,54
138414,Photo,3,12,1,11,0,34
138414,Photo,2,12,1,3,0,66
138414,Photo,1,12,7,10,0,0
138414,Link,1,12,7,10,0,16
138414,Photo,3,12,7,3,0,72
138414,Status,2,12,6,10,0,99
138458,Status,2,12,6,3,0,88
138458,Status,2,12,5,11,0,412
138458,Photo,3,12,5,3,0,100
138895,Photo,2,12,5,3,0,523
138895,Video,1,12,4,11,1,143
138895,Photo,2,12,4,2,0,107
138895,Photo,2,12,3,10,0,27
138895,Photo,3,12,3,3,0,155
138895,Photo,3,12,2,9,0,98
138895,Photo,1,12,2,3,0,56
138895,Photo,2,12,1,11,0,172
138895,Photo,3,12,1,3,0,96
138895,Photo,1,12,7,10,1,76
138895,Status,2,12,7,9,0,227
138895,Photo,1,12,7,3,0,44
138895,Status,2,12,6,11,0,216
138895,Link,1,12,6,3,1,187
138353,Photo,1,12,5,10,0,26
138353,Link,1,12,5,3,1,29
138353,Photo,1,12,4,11,0,47
138353,Link,1,12,4,3,1,57
138353,Status,1,12,3,11,0,174
138353,Link,1,12,3,2,0,18
138353,Photo,1,12,2,11,0,77
138353,Link,1,12,2,2,0,12
138353,Photo,2,11,1,9,0,48
138329,Photo,1,11,1,3,1,285
138329,Photo,1,11,7,9,0,202
138329,Photo,1,11,7,3,0,64
138329,Photo,1,11,6,10,0,66
138329,Video,1,11,6,2,1,65
138329,Photo,1,11,5,11,0,164
138329,Photo,1,11,5,3,0,40
138329,Photo,1,11,4,10,0,76
138329,Photo,1,11,4,3,1,139
138185,Photo,1,11,3,11,1,101
138185,Photo,1,11,3,2,1,144
138185,Photo,1,11,2,10,1,179
138185,Photo,1,11,2,3,1,219
138185,Photo,1,11,1,10,0,60
138185,Photo,1,11,1,3,0,77
138185,Photo,1,11,7,11,0,48
138185,Photo,1,11,7,3,1,697
138185,Photo,1,11,6,11,0,53
137893,Photo,1,11,6,3,0,84
137893,Photo,1,11,5,10,1,146
137893,Video,1,11,5,3,1,449
137893,Status,3,11,4,11,0,226
137893,Photo,1,11,4,2,1,172
137893,Video,1,11,3,11,0,99
137893,Photo,1,11,3,2,1,411
137893,Photo,1,11,3,2,0,0
137177,Photo,1,11,1,10,0,85
137177,Photo,2,11,1,3,0,56
137177,Photo,1,11,7,12,0,29
137177,Status,2,11,7,3,0,86
137177,Photo,3,11,6,10,0,370
137177,Photo,1,11,6,3,0,190
137177,Photo,3,11,5,10,1,101
137177,Status,3,11,5,2,0,99
137177,Photo,1,11,4,9,1,140
137177,Link,1,11,4,3,0,130
137177,Photo,3,11,3,10,0,270
137177,Photo,1,11,3,3,0,30
137059,Photo,1,11,2,11,1,107
137059,Photo,1,11,2,3,0,331
137059,Photo,2,11,1,9,0,78
137059,Photo,3,11,1,3,0,301
137059,Photo,3,11,7,9,0,111
137059,Photo,2,11,7,4,0,124
137059,Photo,3,10,6,10,0,153
137059,Photo,1,10,6,3,0,51
137059,Photo,2,10,5,11,0,115
137020,Status,2,10,5,3,1,310
137020,Photo,1,10,4,10,0,328
137020,Photo,1,10,4,9,1,0
137020,Photo,2,10,4,3,0,1505
137020,Photo,3,10,3,10,0,63
137020,Photo,1,10,3,4,0,13
137020,Photo,1,10,2,11,1,59
137020,Photo,1,10,2,4,0,955
137020,Photo,3,10,1,11,0,181
136736,Status,2,10,1,4,0,193
136736,Photo,3,10,7,9,0,125
136736,Status,2,10,7,3,0,217
136736,Photo,1,10,6,10,0,28
136736,Photo,1,10,6,8,0,
136736,Photo,2,10,6,4,0,117
136642,Photo,2,10,1,3,1,79
136642,Photo,1,10,7,13,0,15
136642,Photo,1,10,7,12,1,4
136642,Photo,1,10,7,12,0,431
136642,Photo,1,10,7,11,0,7
136642,Photo,1,10,7,10,0,7
136393,Photo,1,10,7,10,0,6
136393,Photo,1,10,7,9,0,2
136393,Status,2,10,7,9,0,186
136393,Photo,1,10,7,8,0,1
136393,Photo,1,10,7,7,0,3
136393,Photo,1,10,7,6,0,7
136393,Photo,1,10,7,5,0,7
136393,Photo,3,10,7,3,0,198
136393,Photo,1,10,6,13,0,9
136393,Photo,1,10,6,13,0,4
136393,Photo,1,10,6,12,0,3
136393,Photo,1,10,6,11,0,8
136393,Photo,1,10,6,9,0,7
136393,Photo,1,10,6,9,0,7
136393,Photo,1,10,6,8,0,11
136393,Photo,1,10,6,6,0,28
136393,Photo,1,10,6,2,0,56
136393,Link,1,10,5,10,0,32
136013,Photo,1,10,5,8,0,32
136013,Status,2,10,5,3,0,129
136013,Photo,1,10,4,10,1,77
136013,Link,1,10,4,3,0,143
136013,Status,3,10,3,10,0,227
136013,Status,2,10,3,2,1,859
136013,Photo,3,10,2,10,1,377
136013,Photo,1,10,2,3,1,41
136013,Photo,1,10,1,10,1,76
136013,Photo,3,10,1,3,0,189
135713,Photo,3,10,7,10,0,80
135713,Status,2,10,7,4,0,148
135713,Link,1,10,6,11,1,24
135713,Photo,1,10,6,4,0,302
135713,Photo,2,10,5,11,0,166
135713,Photo,2,10,5,4,1,358
135713,Photo,1,10,4,10,0,161
135713,Photo,2,10,4,1,0,319
135700,Photo,2,9,3,7,0,54
135700,Photo,2,9,2,11,0,117
135700,Photo,3,9,2,2,0,115
135700,Photo,2,9,1,10,0,187
135617,Photo,2,9,1,3,1,84
135617,Photo,3,9,7,9,0,363
135617,Photo,2,9,7,3,0,244
135617,Photo,3,9,6,10,0,290
135617,Status,2,9,6,4,0,243
135428,Photo,1,9,5,10,0,18
135428,Photo,2,9,5,3,1,113
135428,Photo,1,9,4,10,1,77
135428,Photo,3,9,4,2,1,485
135428,Photo,1,9,3,10,0,1622
135428,Photo,2,9,3,2,1,99
135195,Photo,3,9,2,9,0,188
135195,Photo,1,9,2,2,0,30
135195,Status,2,9,1,10,0,163
135195,Photo,1,9,1,4,0,179
135195,Photo,2,9,7,3,0,204
135195,Status,2,9,6,10,1,165
135195,Photo,3,9,6,3,1,1047
135195,Photo,1,9,5,11,0,234
135195,Photo,2,9,5,2,0,250
135195,Photo,2,9,4,10,0,154
134879,Status,2,9,4,4,1,150
134879,Photo,1,9,3,10,0,102
134879,Photo,3,9,3,2,1,226
134879,Video,1,9,2,10,0,345
134879,Photo,2,9,2,3,0,68
134879,Photo,1,9,1,10,0,62
134879,Photo,2,9,1,6,0,223
134879,Photo,2,9,7,10,0,61
134879,Photo,3,9,7,4,1,104
133679,Photo,2,9,2,10,0,146
133679,Photo,3,9,2,3,1,102
133679,Photo,3,8,1,10,0,766
133679,Photo,2,8,1,4,0,63
133594,Photo,2,8,7,10,1,113
133594,Photo,1,8,7,3,0,442
133594,Photo,2,8,6,10,0,278
133594,Photo,1,8,6,8,0,64
133594,Photo,2,8,5,13,0,52
133451,Photo,1,8,4,9,1,30
132817,Photo,3,8,4,10,0,1155
132817,Photo,2,8,4,3,1,139
132817,Photo,1,8,3,9,0,40
132817,Status,2,8,3,2,1,53
132817,Photo,3,8,2,10,0,220
132817,Photo,3,8,2,3,0,114
132201,Photo,1,8,1,12,1,39
132201,Photo,1,8,1,3,0,859
132201,Photo,2,8,7,10,0,137
132201,Photo,3,8,7,3,0,54
132201,Photo,2,8,6,10,1,74
132201,Photo,3,8,6,3,1,98
132201,Photo,3,8,5,10,0,264
132201,Photo,2,8,5,1,0,36
132201,Photo,3,8,4,11,1,11
132201,Photo,3,8,4,3,1,435
131956,Photo,1,8,3,10,0,114
131956,Photo,2,8,3,4,0,17
131956,Status,2,8,2,12,0,15
131956,Photo,1,8,2,7,0,87
131956,Photo,3,8,1,12,0,227
131956,Photo,2,8,1,4,0,86
131956,Photo,3,8,7,10,0,179
131808,Status,2,8,7,4,0,74
131808,Status,2,8,6,10,1,332
131808,Photo,1,8,6,6,0,80
131808,Status,2,7,5,14,0,95
131728,Photo,3,7,5,8,1,188
131728,Photo,1,7,4,10,1,109
131728,Photo,2,7,4,3,0,367
131630,Photo,2,7,3,13,0,102
131630,Photo,3,7,2,23,0,113
131630,Photo,3,7,2,13,0,94
131630,Status,2,7,2,6,1,14
131630,Photo,1,7,1,11,0,43
131630,Photo,2,7,1,5,0,98
131300,Status,2,7,7,10,0,13
131300,Photo,3,7,7,4,0,237
131300,Photo,2,7,6,10,0,112
131300,Photo,1,7,6,2,0,101
130791,Photo,2,7,5,11,1,145
130791,Photo,3,7,5,3,0,535
130791,Photo,1,7,4,11,0,118
130791,Status,2,7,4,6,0,484
130791,Video,1,7,3,11,1,315
130791,Photo,2,7,3,5,1,5172
130791,Photo,1,7,2,13,0,154
130791,Photo,2,7,2,8,0,73
129600,Photo,2,7,1,12,0,96
129600,Photo,3,7,1,6,0,98
129600,Photo,2,7,7,11,1,53
129600,Photo,1,7,7,6,1,71
129600,Photo,1,7,6,11,0,194
129600,Photo,3,7,6,5,0,226
129600,Status,2,7,5,12,1,238
129600,Photo,3,7,5,3,0,755
129600,Photo,2,7,4,12,1,47
129600,Photo,1,7,4,6,1,126
129600,Photo,1,7,3,13,1,104
129600,Photo,2,7,3,1,0,167
129600,Photo,3,7,2,13,0,152
129600,Photo,2,7,2,7,1,128
129600,Photo,1,7,1,13,0,234
128032,Photo,2,7,1,3,0,61
128032,Photo,2,7,7,11,1,66
128032,Photo,3,7,7,3,0,529
128032,Photo,3,7,6,13,1,42
128032,Photo,1,7,6,3,0,75
128032,Status,2,7,5,10,0,61
128032,Photo,1,7,5,3,0,162
128032,Photo,1,7,4,9,1,47
128032,Photo,2,7,4,5,1,696
128032,Photo,1,7,3,10,1,215
127082,Photo,1,7,3,3,1,534
126424,Photo,3,7,4,12,0,143
126424,Photo,2,7,4,3,0,46
126424,Status,2,7,3,13,0,98
126424,Photo,3,7,3,4,1,25
126424,Video,1,6,2,13,0,204
126345,Photo,1,6,2,9,1,202
126345,Photo,1,6,2,3,0,148
126345,Photo,2,6,1,12,0,40
126345,Photo,2,6,1,4,0,71
126345,Status,2,6,7,11,0,104
126141,Photo,1,6,7,4,1,34
126141,Photo,1,6,6,12,0,129
126141,Status,2,6,6,4,0,72
126141,Photo,1,6,5,11,1,15
126141,Photo,1,6,4,22,1,102
126141,Photo,1,6,4,12,0,469
125612,Photo,1,6,4,11,0,57
125612,Photo,1,6,4,7,0,23
125612,Photo,2,6,4,3,0,141
125612,Photo,1,6,3,11,0,19
125612,Photo,2,6,3,3,0,71
125612,Photo,1,6,2,13,0,72
125612,Photo,1,6,2,2,0,54
125612,Photo,3,6,1,14,0,93
125612,Photo,3,6,1,3,0,62
125612,Photo,2,6,7,11,0,78
124940,Photo,1,6,7,4,0,14
124940,Photo,2,6,6,9,0,231
124940,Photo,3,6,6,2,1,72
124940,Photo,1,6,5,13,1,197
124940,Photo,3,6,5,3,1,330
124940,Photo,1,6,4,12,0,148
124940,Photo,3,6,4,2,0,208
124940,Photo,2,6,3,13,0,148
124940,Photo,3,6,3,3,1,154
124940,Photo,3,6,2,13,0,142
124940,Photo,3,6,2,3,0,107
124940,Photo,1,6,1,13,0,22
124940,Photo,3,6,1,3,0,84
124940,Photo,3,6,7,10,0,59
124940,Photo,3,6,7,3,1,65
124940,Photo,1,6,6,12,1,24
124940,Photo,3,6,6,4,0,186
123047,Photo,3,6,5,12,0,58
123047,Photo,2,6,5,3,0,74
123047,Photo,3,6,4,13,0,180
123047,Photo,2,6,4,5,1,168
123047,Photo,1,6,3,11,0,36
123047,Photo,3,6,2,13,0,51
123047,Photo,3,6,2,5,1,67
123047,Photo,3,6,1,10,0,1372
123047,Photo,3,6,1,3,1,57
121540,Photo,3,6,1,3,0,33
121540,Photo,2,5,7,14,0,79
120050,Photo,3,5,5,9,1,97
120050,Photo,3,5,4,12,0,617
120050,Photo,3,5,4,4,1,139
120050,Photo,3,5,3,12,0,199
119198,Photo,3,5,3,5,0,107
119198,Photo,3,5,2,12,0,50
119198,Photo,3,5,2,1,0,64
119198,Status,2,5,1,2,0,55
119198,Photo,2,5,7,2,0,142
119198,Photo,3,5,6,14,0,72
119198,Photo,3,5,6,6,0,79
119198,Photo,3,5,5,10,1,244
117764,Photo,1,5,4,10,0,307
117764,Photo,3,5,4,4,0,212
117764,Photo,3,5,3,11,0,95
117764,Photo,2,5,2,11,0,194
117764,Photo,3,5,1,13,1,101
117764,Link,1,5,1,2,0,46
117764,Photo,3,5,7,13,1,156
117764,Photo,3,5,7,2,0,821
117764,Photo,3,5,6,13,0,58
117764,Photo,3,5,6,8,1,155
117764,Photo,3,5,5,13,0,1639
116435,Photo,2,5,5,9,0,155
116435,Photo,3,5,4,13,1,166
116435,Status,1,5,4,3,1,210
116435,Photo,3,5,3,7,0,400
116435,Photo,2,5,2,14,0,98
116435,Photo,1,5,2,8,0,138
116435,Photo,3,5,1,13,0,148
116091,Photo,2,5,1,3,0,267
116091,Photo,2,5,7,14,0,144
116091,Photo,3,5,7,2,0,256
116091,Photo,1,5,6,9,0,72
116091,Photo,3,5,6,3,0,87
116091,Status,2,5,5,7,0,129
115893,Photo,3,4,4,15,1,179
115893,Photo,1,4,3,13,0,194
115368,Photo,3,4,3,8,0,124
115368,Photo,3,4,2,13,0,304
115368,Photo,3,4,2,2,1,138
115368,Photo,1,4,1,2,0,41
113028,Photo,2,4,7,3,1,163
113028,Photo,1,4,6,14,0,407
113028,Status,2,4,6,3,1,447
113028,Link,1,4,5,7,1,38
113028,Photo,1,4,5,5,0,93
113028,Photo,1,4,4,12,1,59
111620,Photo,3,4,4,7,1,286
111620,Photo,3,4,3,7,0,66
111620,Photo,3,4,2,13,1,236
111620,Photo,1,4,2,6,1,152
111620,Photo,3,4,1,14,1,1998
111620,Photo,1,4,7,14,0,186
109670,Photo,3,4,6,20,0,235
109670,Photo,1,4,6,13,0,64
109670,Photo,3,4,6,3,0,92
109670,Photo,1,4,5,13,0,53
109670,Photo,3,4,5,7,1,140
109670,Photo,1,4,4,3,0,48
109670,Photo,1,4,3,13,1,112
109670,Photo,1,4,3,8,0,35
109670,Photo,1,4,2,13,0,37
109670,Photo,3,4,2,2,1,48
109670,Photo,2,4,1,13,1,766
109670,Photo,1,4,1,2,0,96
109670,Photo,3,4,7,14,0,57
107907,Photo,3,4,7,13,0,114
107907,Photo,1,4,6,9,0,51
107907,Photo,3,4,6,3,1,87
107907,Photo,1,4,5,9,0,81
107907,Photo,3,4,5,3,0,71
107907,Photo,3,4,4,13,0,164
107907,Photo,3,4,4,5,1,91
107907,Photo,1,4,3,13,1,329
107907,Photo,1,4,3,4,1,128
107907,Link,1,4,2,6,0,379
107907,Photo,3,4,1,3,0,52
107907,Photo,3,4,7,10,0,63
107907,Photo,3,4,7,3,0,97
106928,Photo,3,4,6,9,1,56
106928,Link,1,4,6,4,0,36
106928,Photo,2,4,5,13,0,138
106928,Photo,2,4,5,3,0,142
106928,Photo,3,4,4,13,0,75
106928,Photo,1,4,4,3,1,89
104070,Photo,1,3,5,14,1,63
104070,Photo,1,3,4,14,1,176
104070,Photo,1,3,4,7,0,227
104070,Status,1,3,3,15,0,25
104070,Photo,1,3,3,10,0,0
102112,Photo,1,3,3,10,0,27
102112,Photo,1,3,3,4,0,39
102112,Photo,1,3,2,12,0,61
102112,Photo,1,3,2,3,0,32
102112,Photo,1,3,1,19,0,2
102112,Photo,1,3,1,18,0,109
102112,Photo,1,3,1,18,0,32
102112,Link,3,3,1,3,0,68
100732,Photo,1,3,7,18,0,6
100732,Photo,1,3,7,17,0,213
100732,Photo,1,3,7,15,0,2
100732,Photo,1,3,7,15,0,3
100732,Link,1,3,7,14,0,6
100732,Photo,1,3,7,12,0,4
100732,Photo,1,3,6,17,0,4
100732,Photo,1,3,6,17,0,211
100732,Photo,1,3,6,15,0,15
100732,Photo,1,3,6,15,0,95
100732,Photo,1,3,6,13,1,127
100732,Photo,1,3,6,10,0,136
98195,Link,2,3,6,6,0,32
98195,Photo,1,3,6,3,0,76
98195,Photo,1,3,5,10,0,28
98195,Photo,1,3,5,4,1,0
98195,Photo,3,3,4,13,0,664
96749,Photo,3,3,2,9,0,62
96749,Photo,2,3,2,5,0,48
96749,Photo,1,3,1,13,1,55
96749,Photo,1,3,1,2,1,197
96749,Photo,1,3,7,10,1,88
96749,Photo,1,3,7,5,1,59
93684,Photo,1,2,6,13,1,234
93577,Photo,1,2,6,6,0,148
93470,Photo,1,2,5,12,0,96
93363,Photo,1,2,5,6,0,49
93256,Photo,3,2,4,12,0,98
93149,Photo,3,2,4,3,0,198
93042,Photo,3,2,3,13,0,159
92935,Photo,1,2,3,9,1,22
92828,Photo,1,2,3,6,0,154
92721,Photo,3,2,2,13,0,128
92614,Photo,2,2,2,3,1,129
92507,Photo,3,2,1,13,0,1546
92400,Photo,1,2,1,4,0,79
92293,Photo,3,2,7,13,1,214
92186,Photo,3,2,7,2,1,134
92079,Photo,1,2,6,13,0,268
91972,Photo,3,2,6,3,0,128
91865,Photo,2,2,5,13,1,47
91758,Photo,2,2,5,3,1,200
91651,Photo,1,2,4,12,0,264
91544,Photo,3,2,4,3,0,193
91437,Link,1,2,3,13,0,114
91330,Photo,3,2,3,3,0,160
91223,Photo,1,2,2,13,0,46
91116,Photo,3,2,2,4,1,136
91009,Photo,1,2,1,12,0,73
86909,Photo,3,1,6,16,1,65
86909,Photo,1,1,6,10,1,579
86909,Link,1,1,6,4,0,101
86909,Photo,3,1,5,13,0,74
86909,Photo,3,1,5,4,0,84
86909,Photo,2,1,4,11,0,360
86491,Link,1,1,4,4,1,5
86491,Photo,3,1,3,10,0,187
86491,Photo,2,1,3,3,0,69
86491,Photo,3,1,2,7,0,82
86491,Link,1,1,2,2,0,12
85979,Photo,3,1,1,12,0,56
85979,Photo,3,1,1,2,0,44
85979,Photo,3,1,7,10,0,277
85979,Photo,3,1,7,2,0,74
85979,Photo,3,1,6,11,0,79
85979,Photo,3,1,6,3,1,105
85979,Link,1,1,5,11,0,128
85093,Photo,3,1,1,2,0,185
85093,Photo,3,1,7,10,0,125
85093,Photo,3,1,7,2,0,53
81370,Photo,2,1,5,8,0,53
81370,Photo,1,1,5,2,0,93
81370,Photo,3,1,4,11,0,91
81370,Photo,2,1,4,4,,91
